	Document_No	Dominant_Topic	Topic_Perc_Contrib	Keywords	Text
1688	1688	0.0	0.1066	good, neighborhood, feel, work, choice, reason, depend, pick, safe, rate	Good for the area
1689	1689	4.0	0.1259	resident, decide, choose, option, benefit, decision, opinion, agree, base, involve	Some didn't consider the opinions of the residents 
1690	1690	6.0	0.1087	community, favor, involvement, public, generally, increase, support, vote, low_income, offer	Because they were more simple and better
1691	1691	3.0	0.1087	make, thing, development, idea, great, time, favour, densification, infrastructure, year	Because it is what I and my new hood want
1692	1692	3.0	0.1066	make, thing, development, idea, great, time, favour, densification, infrastructure, year	I just prefer that idea 
1693	1693	0.0	0.1087	good, neighborhood, feel, work, choice, reason, depend, pick, safe, rate	Yes is certainly that they are good
1694	1694	7.0	0.1066	increase, density, population, low, percent, reduce, acceptable, double, oppose, reject	increase in rent
1695	1695	6.0	0.1212	community, favor, involvement, public, generally, increase, support, vote, low_income, offer	I am in favor of less density apartment hence selected it
1696	1696	0.0	0.1066	good, neighborhood, feel, work, choice, reason, depend, pick, safe, rate	because I feel strongly about them 
1697	1697	2.0	0.1212	housing, affordable, include, percentage, accept, social, emission, requirement, amount, income	Affordable housing and tax is the most important
1698	1698	4.0	0.1503	resident, decide, choose, option, benefit, decision, opinion, agree, base, involve	most of it was due to the overall balance regarding the future continuance and view upon the area and how each project effects it and how. taking into account all people and views and what would work best for the future
1699	1699	7.0	0.1129	increase, density, population, low, percent, reduce, acceptable, double, oppose, reject	For profit, combined with increased density leads to poorer standards
1700	1700	2.0	0.1235	housing, affordable, include, percentage, accept, social, emission, requirement, amount, income	we need more afordable housing in london, council and affordable private housing 
1701	1701	6.0	0.1066	community, favor, involvement, public, generally, increase, support, vote, low_income, offer	Because it was very formal and understandable
1702	1702	5.0	0.1066	prefer, project, investor, profit, apartment, government, business, local, mixed_use, non_profit	It isn't up to me, and the area is already residential 
1703	1703	7.0	0.1212	increase, density, population, low, percent, reduce, acceptable, double, oppose, reject	Bet one to deal with increase population
1704	1704	6.0	0.1024	community, favor, involvement, public, generally, increase, support, vote, low_income, offer	They sounded convincing 
1705	1705	2.0	0.1148	housing, affordable, include, percentage, accept, social, emission, requirement, amount, income	Should have rental caps get investors in to make area better more affordable housing
1706	1706	2.0	0.1148	housing, affordable, include, percentage, accept, social, emission, requirement, amount, income	Social housing density.  Not for profit investor.  Rent control.
1707	1707	7.0	0.119	increase, density, population, low, percent, reduce, acceptable, double, oppose, reject	I think more than 20% increase in population is too much. I agree with rent caps 
1708	1708	1.0	0.1066	climate, rent, important, cap, building, change, build, issue, neutral, mixed	Density is important
1709	1709	2.0	0.1066	housing, affordable, include, percentage, accept, social, emission, requirement, amount, income	integration plan
1710	1710	0.0	0.1066	good, neighborhood, feel, work, choice, reason, depend, pick, safe, rate	Because some of them I feel like it doesn't suit me 
1711	1711	2.0	0.1087	housing, affordable, include, percentage, accept, social, emission, requirement, amount, income	Its cool and affordable 
1712	1712	2.0	0.1205	housing, affordable, include, percentage, accept, social, emission, requirement, amount, income	I believe that it's important to keep the local flavor alive and have affordable housing and the opportunity for small businesses to be developed in the area, against the corporate greed which will only make profit for heartless concrete projects completely forgetting about the neighborhood
1713	1713	2.0	0.1045	housing, affordable, include, percentage, accept, social, emission, requirement, amount, income	Because some actually met with the expectations that I wanted
1714	1714	3.0	0.1027	make, thing, development, idea, great, time, favour, densification, infrastructure, year	There are certain things that the proposal have that I disagree that is why I have not chosen any proposal, they should have some of the proposal should be exchaged to some of the proposal on the other.
1715	1715	4.0	0.1066	resident, decide, choose, option, benefit, decision, opinion, agree, base, involve	the costs involved
1716	1716	8.0	0.118	area, high, environment, cost, pay, life, problem, space, quality, crime	I'm more in favour of local involvement, environmental concerns and mixed planning that creates an actual neighbourhood rather than just a dormitory commuter zone.
1717	1717	5.0	0.1069	prefer, project, investor, profit, apartment, government, business, local, mixed_use, non_profit	I don't care what kind of housing gets built as long as there is more of it
1718	1718	6.0	0.1087	community, favor, involvement, public, generally, increase, support, vote, low_income, offer	It has more to offer.
1719	1719	2.0	0.1027	housing, affordable, include, percentage, accept, social, emission, requirement, amount, income	Too many people and the rent increases are just wrong
1720	1720	4.0	0.1212	resident, decide, choose, option, benefit, decision, opinion, agree, base, involve	whether it involved residents, what the interest rate was
1721	1721	1.0	0.1109	climate, rent, important, cap, building, change, build, issue, neutral, mixed	rent cap. affordability
1722	1722	0.0	0.0909	good, neighborhood, feel, work, choice, reason, depend, pick, safe, rate	Isn't right sometimes 
1723	1723	5.0	0.1066	prefer, project, investor, profit, apartment, government, business, local, mixed_use, non_profit	There's enough already and prefer not to be overcrowded 
1724	1724	4.0	0.1066	resident, decide, choose, option, benefit, decision, opinion, agree, base, involve	Decisions are not for people
1725	1725	0.0	0.1027	good, neighborhood, feel, work, choice, reason, depend, pick, safe, rate	I weighed the following proposals to pick the most reasonable one where possible. 
1726	1726	1.0	0.1282	climate, rent, important, cap, building, change, build, issue, neutral, mixed	I feel it's very important that things are taken into consideration re climate and population density also that residents have a say
1727	1727	1.0	0.1304	climate, rent, important, cap, building, change, build, issue, neutral, mixed	I am in favour of a lower density population and proposals with some climate change goals
1728	1728	2.0	0.1169	housing, affordable, include, percentage, accept, social, emission, requirement, amount, income	I want guarantees of affordable housing and climate-aware development
1729	1729	1.0	0.1304	climate, rent, important, cap, building, change, build, issue, neutral, mixed	various reasons.  I think its important to have some social housing but also not to restrict things too much with regulation
1730	1730	2.0	0.1046	housing, affordable, include, percentage, accept, social, emission, requirement, amount, income	Housing development is good but I don't want rent will increase 
1731	1731	5.0	0.1301	prefer, project, investor, profit, apartment, government, business, local, mixed_use, non_profit	Would generally go against any for profit investor as main goal is profit ie: low costs.
